"GENE_NAME","Sumo","Diff","minLogP","SATT index"
"BRCA1","ZNF451",NA,NA,NA
"BUB1","LAZSUL",NA,NA,NA
"BUB1","NSMCE2",NA,NA,NA
"BUB1","PIAS1",4.29,1.73,0.28
"BUB1","PIAS2",NA,NA,NA
"BUB1","PIAS3",NA,NA,NA
"BUB1","PIAS4",3.27,1.02,0.1
"BUB1","ZMIZ2",NA,NA,NA
"BUB1","ZNF451",NA,NA,NA
"BYSL","LAZSUL",NA,NA,NA
"BYSL","NSMCE2",NA,NA,NA
"BYSL","PIAS1",NA,NA,NA
"BYSL","PIAS2",NA,NA,NA
"BYSL","PIAS3",NA,NA,NA
"BYSL","PIAS4",2.11,0.74,0.06
"BYSL","ZMIZ2",NA,NA,NA
"BYSL","ZNF451",NA,NA,NA
"C11orf84","LAZSUL",2.78,1.08,-1.34
"C11orf84","NSMCE2",6.97,5.3,0
"C11orf84","PIAS1",NA,NA,NA
"C11orf84","PIAS2",7.05,4.78,0.13
"C11orf84","PIAS3",NA,NA,NA
"C11orf84","PIAS4",6.63,5.4,-0.14
"C11orf84","ZMIZ2",NA,NA,NA
"C11orf84","ZNF451",NA,NA,NA
"C14orf93","LAZSUL",NA,NA,NA
"C14orf93","NSMCE2",NA,NA,NA
"C14orf93","PIAS1",NA,NA,NA
"C14orf93","PIAS2",NA,NA,NA
"C14orf93","PIAS3",NA,NA,NA
"C14orf93","PIAS4",5.33,4.94,0.93
"C14orf93","ZMIZ2",NA,NA,NA
"C14orf93","ZNF451",NA,NA,NA
"C18orf25","LAZSUL",NA,NA,NA
"C18orf25","NSMCE2",5.53,6.35,-0.18
"C18orf25","PIAS1",NA,NA,NA
"C18orf25","PIAS2",NA,NA,NA
"C18orf25","PIAS3",NA,NA,NA
"C18orf25","PIAS4",NA,NA,NA
"C18orf25","ZMIZ2",NA,NA,NA
"C18orf25","ZNF451",NA,NA,NA
"C1orf43","LAZSUL",NA,NA,NA
"C1orf43","NSMCE2",NA,NA,NA
"C1orf43","PIAS1",NA,NA,NA
"C1orf43","PIAS2",NA,NA,NA
"C1orf43","PIAS3",NA,NA,NA
"C1orf43","PIAS4",0.44,1.41,0.65
"C1orf43","ZMIZ2",NA,NA,NA
"C1orf43","ZNF451",NA,NA,NA
"CAPZA1","LAZSUL",NA,NA,NA
"CAPZA1","NSMCE2",NA,NA,NA
"CAPZA1","PIAS1",NA,NA,NA
"CAPZA1","PIAS2",NA,NA,NA
"CAPZA1","PIAS3",NA,NA,NA
"CAPZA1","PIAS4",5.24,3.93,0.99
"CAPZA1","ZMIZ2",NA,NA,NA
"CAPZA1","ZNF451",NA,NA,NA
"CASP8AP2","LAZSUL",NA,NA,NA
"CASP8AP2","NSMCE2",5.9,5.2,0.04
"CASP8AP2","PIAS1",NA,NA,NA
"CASP8AP2","PIAS2",NA,NA,NA
"CASP8AP2","PIAS3",NA,NA,NA
"CASP8AP2","PIAS4",3.72,4.47,-0.08
"CASP8AP2","ZMIZ2",NA,NA,NA
"CASP8AP2","ZNF451",NA,NA,NA
"CBX2","LAZSUL",NA,NA,NA
"CBX2","NSMCE2",5.19,5.63,0.31
"CBX2","PIAS1",NA,NA,NA
"CBX2","PIAS2",NA,NA,NA
"CBX2","PIAS3",NA,NA,NA
"CBX2","PIAS4",3.71,3.44,0.43
"CBX2","ZMIZ2",NA,NA,NA
"CBX2","ZNF451",NA,NA,NA
"CCAR2","LAZSUL",NA,NA,NA
"CCAR2","NSMCE2",1.96,2.53,-0.15
"CCAR2","PIAS1",NA,NA,NA
"CCAR2","PIAS2",NA,NA,NA
"CCAR2","PIAS3",NA,NA,NA
"CCAR2","PIAS4",1.37,0.93,-0.29
"CCAR2","ZMIZ2",NA,NA,NA
"CCAR2","ZNF451",NA,NA,NA
"CCNL1","LAZSUL",0.48,1.63,2.82
"CCNL1","NSMCE2",0.35,3.3,8.29
"CCNL1","PIAS1",NA,NA,NA
"CCNL1","PIAS2",NA,NA,NA
"CCNL1","PIAS3",NA,NA,NA
"CCNL1","PIAS4",0.74,0.69,0.53
"CCNL1","ZMIZ2",NA,NA,NA
"CCNL1","ZNF451",NA,NA,NA
"CCT5","LAZSUL",NA,NA,NA
"CCT5","NSMCE2",NA,NA,NA
"CCT5","PIAS1",NA,NA,NA
"CCT5","PIAS2",NA,NA,NA
"CCT5","PIAS3",NA,NA,NA
"CCT5","PIAS4",3.41,2.22,0.41
"CCT5","ZMIZ2",NA,NA,NA
"CCT5","ZNF451",NA,NA,NA
"CCT6A","LAZSUL",NA,NA,NA
"CCT6A","NSMCE2",NA,NA,NA
"CCT6A","PIAS1",NA,NA,NA
"CCT6A","PIAS2",2.56,2.03,-0.18
"CCT6A","PIAS3",NA,NA,NA
"CCT6A","PIAS4",NA,NA,NA
"CCT6A","ZMIZ2",NA,NA,NA
"CCT6A","ZNF451",NA,NA,NA
"CCZ1B;CCZ1","LAZSUL",NA,NA,NA
"CCZ1B;CCZ1","NSMCE2",NA,NA,NA
"CCZ1B;CCZ1","PIAS1",NA,NA,NA
"CCZ1B;CCZ1","PIAS2",NA,NA,NA
"CCZ1B;CCZ1","PIAS3",NA,NA,NA
"CCZ1B;CCZ1","PIAS4",2.74,1.18,0.14
"CCZ1B;CCZ1","ZMIZ2",NA,NA,NA
"CCZ1B;CCZ1","ZNF451",NA,NA,NA
"CDC45","LAZSUL",NA,NA,NA
"CDC45","NSMCE2",NA,NA,NA
"CDC45","PIAS1",NA,NA,NA
"CDC45","PIAS2",NA,NA,NA
"CDC45","PIAS3",NA,NA,NA
"CDC45","PIAS4",1.59,0.72,2.35
"CDC45","ZMIZ2",NA,NA,NA
"CDC45","ZNF451",NA,NA,NA
"CDC7","LAZSUL",NA,NA,NA
"CDC7","NSMCE2",4.78,5.2,-0.01
"CDC7","PIAS1",NA,NA,NA
"CDC7","PIAS2",NA,NA,NA
"CDC7","PIAS3",NA,NA,NA
"CDC7","PIAS4",6.78,6.58,0.46
"CDC7","ZMIZ2",NA,NA,NA
"CDC7","ZNF451",NA,NA,NA
"CDCA7L","LAZSUL",NA,NA,NA
"CDCA7L","NSMCE2",4.57,4.24,-0.23
"CDCA7L","PIAS1",NA,NA,NA
"CDCA7L","PIAS2",NA,NA,NA
"CDCA7L","PIAS3",NA,NA,NA
"CDCA7L","PIAS4",NA,NA,NA
"CDCA7L","ZMIZ2",NA,NA,NA
"CDCA7L","ZNF451",NA,NA,NA
"CDK1","LAZSUL",2.12,1.06,0.23
"CDK1","NSMCE2",6.08,2.73,0.19
"CDK1","PIAS1",NA,NA,NA
"CDK1","PIAS2",NA,NA,NA
"CDK1","PIAS3",NA,NA,NA
"CDK1","PIAS4",4.01,3.76,0.32
"CDK1","ZMIZ2",NA,NA,NA
"CDK1","ZNF451",NA,NA,NA
"CDK11B","LAZSUL",NA,NA,NA
"CDK11B","NSMCE2",8.46,6.74,0.02
"CDK11B","PIAS1",NA,NA,NA
"CDK11B","PIAS2",NA,NA,NA
"CDK11B","PIAS3",2.49,3.43,0.4
"CDK11B","PIAS4",7.16,3.56,0.34
"CDK11B","ZMIZ2",NA,NA,NA
"CDK11B","ZNF451",NA,NA,NA
"CDK12","LAZSUL",NA,NA,NA
"CDK12","NSMCE2",NA,NA,NA
"CDK12","PIAS1",NA,NA,NA
"CDK12","PIAS2",NA,NA,NA
"CDK12","PIAS3",NA,NA,NA
"CDK12","PIAS4",0.66,1.45,0.23
"CDK12","ZMIZ2",NA,NA,NA
"CDK12","ZNF451",NA,NA,NA
"CDK2","LAZSUL",NA,NA,NA
"CDK2","NSMCE2",NA,NA,NA
"CDK2","PIAS1",NA,NA,NA
"CDK2","PIAS2",3.16,1.6,0.85
"CDK2","PIAS3",NA,NA,NA
"CDK2","PIAS4",NA,NA,NA
"CDK2","ZMIZ2",NA,NA,NA
"CDK2","ZNF451",NA,NA,NA
"CDK9","LAZSUL",NA,NA,NA
"CDK9","NSMCE2",4.63,4.21,-0.17
"CDK9","PIAS1",NA,NA,NA
"CDK9","PIAS2",NA,NA,NA
"CDK9","PIAS3",NA,NA,NA
"CDK9","PIAS4",1.48,3.27,2.03
"CDK9","ZMIZ2",NA,NA,NA
"CDK9","ZNF451",NA,NA,NA
"CEBPB","LAZSUL",NA,NA,NA
"CEBPB","NSMCE2",NA,NA,NA
"CEBPB","PIAS1",NA,NA,NA
"CEBPB","PIAS2",NA,NA,NA
"CEBPB","PIAS3",NA,NA,NA
"CEBPB","PIAS4",5.9,4.37,0.99
"CEBPB","ZMIZ2",NA,NA,NA
"CEBPB","ZNF451",NA,NA,NA
"CFL1;CFL2","LAZSUL",3.15,1.58,1.13
"CFL1;CFL2","NSMCE2",3.35,5.22,-0.26
"CFL1;CFL2","PIAS1",NA,NA,NA
"CFL1;CFL2","PIAS2",NA,NA,NA
"CFL1;CFL2","PIAS3",NA,NA,NA
"CFL1;CFL2","PIAS4",5.19,6.9,0.18
