GENE,NSMCE2,NSMCE2,NSMCE2,PIAS1,PIAS1,PIAS1,PIAS2,PIAS2,PIAS2,PIAS3,PIAS3,PIAS3,PIAS4,PIAS4,PIAS4
NAME,SATT index,minLogP,Diff,SATT index,minLogP,Diff,SATT index,minLogP,Diff,SATT index,minLogP,Diff,SATT index,minLogP,Diff
ZNF687,0.700464964,4.39,1.72,0.325816683,3.64,3.52,NaN,NaN,NaN,NaN,NaN,NaN,0.600561132,5.86,4.18
ZNF7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.901788294,1.92,2.15
ZNF800,1.51409055,3.29,1.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZNF827,0.170136601,4.81,7.13,0.34862023,3.18,3.85,NaN,NaN,NaN,NaN,NaN,NaN,0.145932189,4.9,6.84
ZNF836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.076472243,2.55,3.46
ZNF888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.728027198,2.91,2.09,NaN,NaN,NaN
ZNF701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.728027198,2.91,2.09,NaN,NaN,NaN
IKZF2,0.8335784,5.18,4.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.95916943,2.15,3.33
ZNHIT6,-0.142713476,5.12,5.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.114811745,3.13,5.47
ZSCAN26,0.768041237,1.46,2.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZW10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.819724577,1.51,2.28,NaN,NaN,NaN
ZXDC,0.027331264,3.76,4.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.61770187,5.49,4.23
