"GENE_NAME","Sumo","Diff","minLogP"
"ATP5L","PIAS1","3.47","4.21"
"ATP5L","PIAS2",NA,NA
"ATP5L","PIAS3",NA,NA
"ATP5L","PIAS4",NA,NA
"ATP5L","ZMIZ2",NA,NA
"ATP5L","ZNF451",NA,NA
"ATP5O","LAZSUL",NA,NA
"ATP5O","NSMCE2",NA,NA
"ATP5O","PIAS1","5.19","10.3"
"ATP5O","PIAS2",NA,NA
"ATP5O","PIAS3",NA,NA
"ATP5O","PIAS4",NA,NA
"ATP5O","ZMIZ2",NA,NA
"ATP5O","ZNF451",NA,NA
"ATRX","LAZSUL",NA,NA
"ATRX","NSMCE2",NA,NA
"ATRX","PIAS1",NA,NA
"ATRX","PIAS2",NA,NA
"ATRX","PIAS3",NA,NA
"ATRX","PIAS4","3.47","5.95"
"ATRX","ZMIZ2",NA,NA
"ATRX","ZNF451",NA,NA
"ATXN7","LAZSUL",NA,NA
"ATXN7","NSMCE2",NA,NA
"ATXN7","PIAS1",NA,NA
"ATXN7","PIAS2",NA,NA
"ATXN7","PIAS3",NA,NA
"ATXN7","PIAS4","2.44","6.33"
"ATXN7","ZMIZ2",NA,NA
"ATXN7","ZNF451",NA,NA
"AUTS2","LAZSUL",NA,NA
"AUTS2","NSMCE2",NA,NA
"AUTS2","PIAS1",NA,NA
"AUTS2","PIAS2",NA,NA
"AUTS2","PIAS3",NA,NA
"AUTS2","PIAS4",NA,NA
"AUTS2","ZMIZ2","2.88","2.17"
"AUTS2","ZNF451",NA,NA
"B2M","LAZSUL",NA,NA
"B2M","NSMCE2",NA,NA
"B2M","PIAS1","3.17","8.86"
"B2M","PIAS2",NA,NA
"B2M","PIAS3",NA,NA
"B2M","PIAS4",NA,NA
"B2M","ZMIZ2",NA,NA
"B2M","ZNF451",NA,NA
"B3GAT3","LAZSUL",NA,NA
"B3GAT3","NSMCE2",NA,NA
"B3GAT3","PIAS1",NA,NA
"B3GAT3","PIAS2",NA,NA
"B3GAT3","PIAS3",NA,NA
"B3GAT3","PIAS4",NA,NA
"B3GAT3","ZMIZ2","2.41","2.08"
"B3GAT3","ZNF451",NA,NA
"B4GALT5","LAZSUL","3.55","11.43"
"B4GALT5","NSMCE2",NA,NA
"B4GALT5","PIAS1",NA,NA
"B4GALT5","PIAS2",NA,NA
"B4GALT5","PIAS3",NA,NA
"B4GALT5","PIAS4",NA,NA
"B4GALT5","ZMIZ2",NA,NA
"B4GALT5","ZNF451",NA,NA
"BARD1","LAZSUL",NA,NA
"BARD1","NSMCE2","3.58","4.18"
"BARD1","PIAS1",NA,NA
"BARD1","PIAS2",NA,NA
"BARD1","PIAS3",NA,NA
"BARD1","PIAS4","3.13","3.12"
"BARD1","ZMIZ2",NA,NA
"BARD1","ZNF451",NA,NA
"BAZ2A","LAZSUL",NA,NA
"BAZ2A","NSMCE2",NA,NA
"BAZ2A","PIAS1","3.1","3.16"
"BAZ2A","PIAS2",NA,NA
"BAZ2A","PIAS3",NA,NA
"BAZ2A","PIAS4",NA,NA
"BAZ2A","ZMIZ2",NA,NA
"BAZ2A","ZNF451",NA,NA
"BBX","LAZSUL",NA,NA
"BBX","NSMCE2",NA,NA
"BBX","PIAS1",NA,NA
"BBX","PIAS2",NA,NA
"BBX","PIAS3",NA,NA
"BBX","PIAS4","6.77","10.6"
"BBX","ZMIZ2",NA,NA
"BBX","ZNF451",NA,NA
"BCL11A","LAZSUL",NA,NA
"BCL11A","NSMCE2",NA,NA
"BCL11A","PIAS1",NA,NA
"BCL11A","PIAS2",NA,NA
"BCL11A","PIAS3",NA,NA
"BCL11A","PIAS4","2.19","5.57"
"BCL11A","ZMIZ2",NA,NA
