"GENE_NAME","Sumo","Diff","minLogP","SATT index"
"CDC42","PIAS4",NA,NA,NA
"CDC5L","NSMCE2",1.18,2.11,1.09
"CDC5L","PIAS1",NA,NA,NA
"CDC5L","PIAS2",NA,NA,NA
"CDC5L","PIAS3",NA,NA,NA
"CDC5L","PIAS4",NA,NA,NA
"CDC7","NSMCE2",2,1.67,-0.32
"CDC7","PIAS1",NA,NA,NA
"CDC7","PIAS2",NA,NA,NA
"CDC7","PIAS3",NA,NA,NA
"CDC7","PIAS4",NA,NA,NA
"CDK11A","NSMCE2",6.48,4.67,-0.04
"CDK11A","PIAS1",3.26,3.74,0.17
"CDK11A","PIAS2",NA,NA,NA
"CDK11A","PIAS3",NA,NA,NA
"CDK11A","PIAS4",3.97,2.89,0.09
"CDK11B","NSMCE2",3.25,3.02,0.64
"CDK11B","PIAS1",NA,NA,NA
"CDK11B","PIAS2",NA,NA,NA
"CDK11B","PIAS3",NA,NA,NA
"CDK11B","PIAS4",NA,NA,NA
"CDK2","NSMCE2",NA,NA,NA
"CDK2","PIAS1",NA,NA,NA
"CDK2","PIAS2",1.95,1.15,0.18
"CDK2","PIAS3",NA,NA,NA
"CDK2","PIAS4",NA,NA,NA
"CEBPZ","NSMCE2",NA,NA,NA
"CEBPZ","PIAS1",NA,NA,NA
"CEBPZ","PIAS2",0.78,4.82,0.12
"CEBPZ","PIAS3",NA,NA,NA
"CEBPZ","PIAS4",NA,NA,NA
"CENPB","NSMCE2",4.3,6.26,0.13
"CENPB","PIAS1",NA,NA,NA
"CENPB","PIAS2",NA,NA,NA
"CENPB","PIAS3",NA,NA,NA
"CENPB","PIAS4",NA,NA,NA
"CENPC","NSMCE2",4.59,3.87,0.07
"CENPC","PIAS1",NA,NA,NA
"CENPC","PIAS2",NA,NA,NA
"CENPC","PIAS3",NA,NA,NA
"CENPC","PIAS4",NA,NA,NA
"CENPL","NSMCE2",NA,NA,NA
"CENPL","PIAS1",NA,NA,NA
"CENPL","PIAS2",2.6,1.76,0.02
"CENPL","PIAS3",NA,NA,NA
"CENPL","PIAS4",NA,NA,NA
"CERS2","NSMCE2",NA,NA,NA
"CERS2","PIAS1",NA,NA,NA
"CERS2","PIAS2",0.31,2.76,0.79
"CERS2","PIAS3",NA,NA,NA
"CERS2","PIAS4",NA,NA,NA
"CHD4","NSMCE2",0.58,2.98,-0.02
"CHD4","PIAS1",NA,NA,NA
"CHD4","PIAS2",NA,NA,NA
"CHD4","PIAS3",NA,NA,NA
"CHD4","PIAS4",NA,NA,NA
"CISD2","NSMCE2",NA,NA,NA
"CISD2","PIAS1",NA,NA,NA
"CISD2","PIAS2",3.35,2.39,-0.02
"CISD2","PIAS3",NA,NA,NA
"CISD2","PIAS4",NA,NA,NA
"CLCC1","NSMCE2",NA,NA,NA
"CLCC1","PIAS1",NA,NA,NA
"CLCC1","PIAS2",0.68,1.76,0.81
"CLCC1","PIAS3",NA,NA,NA
"CLCC1","PIAS4",NA,NA,NA
"CLPTM1","NSMCE2",NA,NA,NA
"CLPTM1","PIAS1",NA,NA,NA
"CLPTM1","PIAS2",0.67,3.35,0.6
"CLPTM1","PIAS3",NA,NA,NA
"CLPTM1","PIAS4",NA,NA,NA
"CNNM4","NSMCE2",NA,NA,NA
"CNNM4","PIAS1",NA,NA,NA
"CNNM4","PIAS2",2.05,1.27,0.64
"CNNM4","PIAS3",NA,NA,NA
"CNNM4","PIAS4",NA,NA,NA
"CNOT11","NSMCE2",NA,NA,NA
"CNOT11","PIAS1",NA,NA,NA
"CNOT11","PIAS2",2.01,1.34,0.56
"CNOT11","PIAS3",NA,NA,NA
"CNOT11","PIAS4",NA,NA,NA
"COIL","NSMCE2",4.86,4.27,0.82
"COIL","PIAS1",NA,NA,NA
"COIL","PIAS2",NA,NA,NA
"COIL","PIAS3",NA,NA,NA
"COIL","PIAS4",NA,NA,NA
"COPG1","NSMCE2",NA,NA,NA
"COPG1","PIAS1",NA,NA,NA
"COPG1","PIAS2",1.15,1.72,0.49
"COPG1","PIAS3",NA,NA,NA
"COPG1","PIAS4",NA,NA,NA
"COPS3","NSMCE2",NA,NA,NA
"COPS3","PIAS1",NA,NA,NA
"COPS3","PIAS2",0.37,2.53,1.58
"COPS3","PIAS3",NA,NA,NA
"COPS3","PIAS4",NA,NA,NA
"COX4I1","NSMCE2",NA,NA,NA
"COX4I1","PIAS1",NA,NA,NA
"COX4I1","PIAS2",0.49,2.5,-0.17
"COX4I1","PIAS3",NA,NA,NA
"COX4I1","PIAS4",NA,NA,NA
"CSNK1A1","NSMCE2",NA,NA,NA
"CSNK1A1","PIAS1",NA,NA,NA
"CSNK1A1","PIAS2",0.59,2.18,0.6
"CSNK1A1","PIAS3",NA,NA,NA
"CSNK1A1","PIAS4",NA,NA,NA
"CTCF","NSMCE2",2.5,1.36,0.28
"CTCF","PIAS1",NA,NA,NA
"CTCF","PIAS2",NA,NA,NA
"CTCF","PIAS3",NA,NA,NA
"CTCF","PIAS4",NA,NA,NA
"CYC1","NSMCE2",NA,NA,NA
"CYC1","PIAS1",NA,NA,NA
"CYC1","PIAS2",1.15,3.77,0.16
"CYC1","PIAS3",NA,NA,NA
"CYC1","PIAS4",NA,NA,NA
"DAXX","NSMCE2",5.75,5.59,0.38
"DAXX","PIAS1",NA,NA,NA
"DAXX","PIAS2",NA,NA,NA
"DAXX","PIAS3",NA,NA,NA
"DAXX","PIAS4",NA,NA,NA
"DDB1","NSMCE2",NA,NA,NA
"DDB1","PIAS1",NA,NA,NA
"DDB1","PIAS2",0.68,1.73,-0.15
"DDB1","PIAS3",NA,NA,NA
"DDB1","PIAS4",NA,NA,NA
"DDX18","NSMCE2",2.48,1.38,0.05
"DDX18","PIAS1",NA,NA,NA
"DDX18","PIAS2",NA,NA,NA
"DDX18","PIAS3",NA,NA,NA
"DDX18","PIAS4",NA,NA,NA
"DDX21","NSMCE2",2.54,2.92,0.6
"DDX21","PIAS1",NA,NA,NA
"DDX21","PIAS2",NA,NA,NA
"DDX21","PIAS3",NA,NA,NA
"DDX21","PIAS4",NA,NA,NA
"DDX5","NSMCE2",NA,NA,NA
"DDX5","PIAS1",NA,NA,NA
"DDX5","PIAS2",NA,NA,NA
"DDX5","PIAS3",NA,NA,NA
"DDX5","PIAS4",2.68,2.21,0.15
"DDX52","NSMCE2",4.08,4.69,0.91
"DDX52","PIAS1",NA,NA,NA
"DDX52","PIAS2",NA,NA,NA
"DDX52","PIAS3",NA,NA,NA
"DDX52","PIAS4",NA,NA,NA
"DHCR7","NSMCE2",NA,NA,NA
"DHCR7","PIAS1",NA,NA,NA
"DHCR7","PIAS2",0.78,2.06,0.24
"DHCR7","PIAS3",NA,NA,NA
"DHCR7","PIAS4",NA,NA,NA
"DHDDS","NSMCE2",NA,NA,NA
"DHDDS","PIAS1",NA,NA,NA
"DHDDS","PIAS2",1.74,2.29,0.22
"DHDDS","PIAS3",NA,NA,NA
"DHDDS","PIAS4",NA,NA,NA
"DHRS7B","NSMCE2",NA,NA,NA
"DHRS7B","PIAS1",NA,NA,NA
"DHRS7B","PIAS2",1.8,1.31,0.04
"DHRS7B","PIAS3",NA,NA,NA
"DHRS7B","PIAS4",NA,NA,NA
"DHX36","NSMCE2",NA,NA,NA
"DHX36","PIAS1",NA,NA,NA
"DHX36","PIAS2",3.61,4.14,0.19
"DHX36","PIAS3",NA,NA,NA
"DHX36","PIAS4",NA,NA,NA
"DHX9","NSMCE2",NA,NA,NA
"DHX9","PIAS1",NA,NA,NA
"DHX9","PIAS2",0.81,3.57,0.23
"DHX9","PIAS3",NA,NA,NA
"DHX9","PIAS4",NA,NA,NA
"DKC1","NSMCE2",1.91,2.71,0.43
"DKC1","PIAS1",NA,NA,NA
"DKC1","PIAS2",NA,NA,NA
"DKC1","PIAS3",NA,NA,NA
"DKC1","PIAS4",3.25,2.35,0.07
"DNAJC8","NSMCE2",4.38,4.09,0.04
"DNAJC8","PIAS1",NA,NA,NA
"DNAJC8","PIAS2",NA,NA,NA
"DNAJC8","PIAS3",NA,NA,NA
