"GENE_NAME","Sumo","Diff","minLogP","SATT index"
"ANP32E","PIAS1",NA,NA,NA
"ANP32E","PIAS2",NA,NA,NA
"ANP32E","PIAS3",NA,NA,NA
"ANP32E","PIAS4",2.71,1.82,0.781060748
"ANP32E","LAZSUL",NA,NA,NA
"ANP32E","ZNF451",NA,NA,NA
"ANP32E","ZMIZ2",NA,NA,NA
"ANXA1","NSMCE2",NA,NA,NA
"ANXA1","PIAS1",1.05,1.76,1.269277566
"ANXA1","PIAS2",NA,NA,NA
"ANXA1","PIAS3",NA,NA,NA
"ANXA1","PIAS4",NA,NA,NA
"ANXA1","LAZSUL",NA,NA,NA
"ANXA1","ZNF451",NA,NA,NA
"ANXA1","ZMIZ2",NA,NA,NA
"ANXA5","NSMCE2",3.01,3.01,0.176620486
"ANXA5","PIAS1",NA,NA,NA
"ANXA5","PIAS2",NA,NA,NA
"ANXA5","PIAS3",NA,NA,NA
"ANXA5","PIAS4",NA,NA,NA
"ANXA5","LAZSUL",2.73,2.02,-0.338161215
"ANXA5","ZNF451",NA,NA,NA
"ANXA5","ZMIZ2",NA,NA,NA
"AP1B1","NSMCE2",NA,NA,NA
"AP1B1","PIAS1",NA,NA,NA
"AP1B1","PIAS2",2.46,1.59,0.721631308
"AP1B1","PIAS3",NA,NA,NA
"AP1B1","PIAS4",NA,NA,NA
"AP1B1","LAZSUL",NA,NA,NA
"AP1B1","ZNF451",2.62,3.49,0.04350318
"AP1B1","ZMIZ2",NA,NA,NA
"AP2M1","NSMCE2",NA,NA,NA
"AP2M1","PIAS1",NA,NA,NA
"AP2M1","PIAS2",0.63,1.63,0.304895721
"AP2M1","PIAS3",NA,NA,NA
"AP2M1","PIAS4",NA,NA,NA
"AP2M1","LAZSUL",NA,NA,NA
"AP2M1","ZNF451",NA,NA,NA
"AP2M1","ZMIZ2",NA,NA,NA
"API5","NSMCE2",NA,NA,NA
"API5","PIAS1",NA,NA,NA
"API5","PIAS2",3.27,1.6,0.065960604
"API5","PIAS3",NA,NA,NA
"API5","PIAS4",NA,NA,NA
"API5","LAZSUL",NA,NA,NA
"API5","ZNF451",NA,NA,NA
"API5","ZMIZ2",NA,NA,NA
"APOBEC3B","NSMCE2",NA,NA,NA
"APOBEC3B","PIAS1",NA,NA,NA
"APOBEC3B","PIAS2",NA,NA,NA
"APOBEC3B","PIAS3",NA,NA,NA
"APOBEC3B","PIAS4",NA,NA,NA
"APOBEC3B","LAZSUL",0.89,3.09,1.126431462
"APOBEC3B","ZNF451",NA,NA,NA
"APOBEC3B","ZMIZ2",NA,NA,NA
"APTX","NSMCE2",NA,NA,NA
"APTX","PIAS1",NA,NA,NA
"APTX","PIAS2",NA,NA,NA
"APTX","PIAS3",NA,NA,NA
"APTX","PIAS4",0.54,1.91,0.198258106
"APTX","LAZSUL",NA,NA,NA
"APTX","ZNF451",NA,NA,NA
"APTX","ZMIZ2",NA,NA,NA
"ARID1A","NSMCE2",NA,NA,NA
"ARID1A","PIAS1",NA,NA,NA
"ARID1A","PIAS2",0.64,2.53,0.602635786
"ARID1A","PIAS3",NA,NA,NA
"ARID1A","PIAS4",NA,NA,NA
"ARID1A","LAZSUL",NA,NA,NA
"ARID1A","ZNF451",NA,NA,NA
"ARID1A","ZMIZ2",NA,NA,NA
"ARID1B","NSMCE2",NA,NA,NA
"ARID1B","PIAS1",NA,NA,NA
"ARID1B","PIAS2",NA,NA,NA
"ARID1B","PIAS3",NA,NA,NA
"ARID1B","PIAS4",NA,NA,NA
"ARID1B","LAZSUL",1.11,2.84,0.22121309
"ARID1B","ZNF451",NA,NA,NA
"ARID1B","ZMIZ2",NA,NA,NA
"ARID2","NSMCE2",NA,NA,NA
"ARID2","PIAS1",NA,NA,NA
"ARID2","PIAS2",0.57,2.23,1.210314797
"ARID2","PIAS3",NA,NA,NA
"ARID2","PIAS4",NA,NA,NA
"ARID2","LAZSUL",NA,NA,NA
"ARID2","ZNF451",NA,NA,NA
"ARID2","ZMIZ2",NA,NA,NA
"ARID3A","NSMCE2",NA,NA,NA
"ARID3A","PIAS1",NA,NA,NA
"ARID3A","PIAS2",NA,NA,NA
"ARID3A","PIAS3",NA,NA,NA
"ARID3A","PIAS4",7.62,6.62,0.883034822
"ARID3A","LAZSUL",NA,NA,NA
"ARID3A","ZNF451",NA,NA,NA
"ARID3A","ZMIZ2",NA,NA,NA
"ARID5A","NSMCE2",NA,NA,NA
"ARID5A","PIAS1",NA,NA,NA
"ARID5A","PIAS2",NA,NA,NA
"ARID5A","PIAS3",NA,NA,NA
"ARID5A","PIAS4",3.15,4.76,0.751350676
"ARID5A","LAZSUL",NA,NA,NA
"ARID5A","ZNF451",NA,NA,NA
"ARID5A","ZMIZ2",NA,NA,NA
"ARID5B","NSMCE2",0.89,3.41,0.173615609
"ARID5B","PIAS1",NA,NA,NA
"ARID5B","PIAS2",NA,NA,NA
"ARID5B","PIAS3",NA,NA,NA
"ARID5B","PIAS4",2.73,6.19,0.183634247
"ARID5B","LAZSUL",NA,NA,NA
"ARID5B","ZNF451",NA,NA,NA
"ARID5B","ZMIZ2",NA,NA,NA
"ARL1","NSMCE2",NA,NA,NA
"ARL1","PIAS1",NA,NA,NA
"ARL1","PIAS2",4.34,4.59,0.556139547
"ARL1","PIAS3",NA,NA,NA
"ARL1","PIAS4",NA,NA,NA
"ARL1","LAZSUL",NA,NA,NA
"ARL1","ZNF451",NA,NA,NA
"ARL1","ZMIZ2",NA,NA,NA
"ARL6IP5","NSMCE2",NA,NA,NA
"ARL6IP5","PIAS1",NA,NA,NA
"ARL6IP5","PIAS2",NA,NA,NA
"ARL6IP5","PIAS3",NA,NA,NA
"ARL6IP5","PIAS4",NA,NA,NA
"ARL6IP5","LAZSUL",1.14,1.53,0.989608895
"ARL6IP5","ZNF451",NA,NA,NA
"ARL6IP5","ZMIZ2",NA,NA,NA
