GENE_NAME,Sumo,Diff,minLogP
ZNF462,PIAS1,NA,NA
ZNF518A,PIAS1,NA,NA
ZNF644,PIAS1,NA,NA
ZNF687,PIAS1,NA,NA
ZNF800,PIAS1,NA,NA
ZNF827,PIAS1,NA,NA
ZNHIT6,PIAS1,NA,NA
ZXDC,PIAS1,NA,NA
ATF6,PIAS2,NA,NA
BCL11B,PIAS2,NA,NA
BCLAF1,PIAS2,NA,NA
BHLHE40,PIAS2,NA,NA
BHLHE41,PIAS2,NA,NA
BNC2,PIAS2,NA,NA
BRD8,PIAS2,NA,NA
BRIX1,PIAS2,NA,NA
CASP8AP2,PIAS2,NA,NA
CCAR2,PIAS2,NA,NA
CDC5L,PIAS2,NA,NA
CDK11A,PIAS2,NA,NA
CENPC,PIAS2,NA,NA
CHD4,PIAS2,NA,NA
COIL,PIAS2,NA,NA
DDX18,PIAS2,NA,NA
DKC1,PIAS2,NA,NA
DNTTIP2,PIAS2,NA,NA
ELMSAN1,PIAS2,NA,NA
EMSY;C11orf30,PIAS2,NA,NA
ETV6,PIAS2,NA,NA
EXOSC10,PIAS2,NA,NA
FAM111A,PIAS2,NA,NA
FOSL2,PIAS2,NA,NA
FOXM1,PIAS2,NA,NA
FTSJ3,PIAS2,NA,NA
GLYR1,PIAS2,NA,NA
GTF2I,PIAS2,NA,NA
GTF2IRD1,PIAS2,NA,NA
HDAC1,PIAS2,NA,NA
HDX,PIAS2,NA,NA
HIPK1,PIAS2,NA,NA
HJURP,PIAS2,NA,NA
HMBOX1,PIAS2,NA,NA
HMG20B,PIAS2,NA,NA
HNRNPC,PIAS2,NA,NA
HNRNPM,PIAS2,NA,NA
HSF1,PIAS2,NA,NA
INTS12,PIAS2,NA,NA
KANSL1,PIAS2,NA,NA
KCTD1,PIAS2,NA,NA
KDM4A,PIAS2,NA,NA
KDM5B,PIAS2,NA,NA
KIAA1551,PIAS2,NA,NA
LAMB2,PIAS2,NA,NA
LAS1L,PIAS2,NA,NA
LMNA,PIAS2,NA,NA
LMNB1,PIAS2,NA,NA
LMNB2,PIAS2,NA,NA
MAFG,PIAS2,NA,NA
MAFK,PIAS2,NA,NA
MAGED4,PIAS2,NA,NA
MATR3,PIAS2,NA,NA
MBD1,PIAS2,NA,NA
MED6,PIAS2,NA,NA
MGA,PIAS2,NA,NA
MIS18BP1,PIAS2,NA,NA
MKI67,PIAS2,NA,NA
MORC2,PIAS2,NA,NA
MORC3,PIAS2,NA,NA
MPHOSPH10,PIAS2,NA,NA
MSANTD4,PIAS2,NA,NA
MVP,PIAS2,2.38,3.69
NAB2,PIAS2,NA,NA
NFIL3,PIAS2,NA,NA
NHP2,PIAS2,NA,NA
NIFK,PIAS2,NA,NA
NOL10,PIAS2,NA,NA
NOP2,PIAS2,NA,NA
NOP58,PIAS2,NA,NA
NOVA2,PIAS2,NA,NA
NPAT,PIAS2,NA,NA
NR3C1,PIAS2,NA,NA
NUMA1,PIAS2,NA,NA
OGDH,PIAS2,NA,NA
PHF21A,PIAS2,NA,NA
PIAS1,PIAS2,NA,NA
PIAS2,PIAS2,4.85,3.98
PIAS3,PIAS2,NA,NA
PLOD3,PIAS2,NA,NA
PML,PIAS2,NA,NA
PML-11,PIAS2,NA,NA
PNN,PIAS2,NA,NA
POLR3D,PIAS2,NA,NA
PTGFRN,PIAS2,NA,NA
PTRF,PIAS2,NA,NA
RAD18,PIAS2,NA,NA
RAD54L2,PIAS2,NA,NA
RANGAP1,PIAS2,NA,NA
RBBP6,PIAS2,NA,NA
RBM25,PIAS2,NA,NA
RBM28,PIAS2,NA,NA
RNF216,PIAS2,NA,NA
RPL13,PIAS2,NA,NA
RPS27A,PIAS2,NA,NA
RRP15,PIAS2,NA,NA
RRS1,PIAS2,NA,NA
RSF1,PIAS2,NA,NA
RSL1D1,PIAS2,NA,NA
SAP130,PIAS2,NA,NA
SART1,PIAS2,NA,NA
